bpm,genre,title,artist
148,テクノ歌謡,bit mania,AKIRA YAMAOKA
155,EUROBEAT,Blame,good-cool feat. Jeff Coote
144,EURO GROOVE,CELEBRATE NITE,N.M.R
155,EUROBEAT,Colors -Y&Co. Eurobeat Remix-,dj TAKA (remixed by 横田商会)
131-140,GARAGE HOUSE,dual control,Mr.T
155,PSYCHEDELIC TECHNO,Giudecca,D.J.SETUP
140,GIRL ROCK,Halfway of promise,Yu Takami feat. Shihori Nakane
152,GOA TRANCE,HYPER BOUNDARY GATE,L.E.D.LIGHT
180,RAVE,LAB,RAM
180,HARD CHANSON,LOVE IS ORANGE,Orange Lounge
134,2 STEP,Luv 2 Feel Your Body,Shoichiro Hirata
188,BEAT ROCK,memories,TAKA
155,EUROBEAT,Monkey Dance,Y&Co.
174,CUDDLECORE,murmur twins,yu_tokiwa.djw
144,TECHNO,MUSIC TO YOUR HEAD,SLAKE
135,DISCO,PLEASE DON'T GO,ASLETICS
148,TRANCE,rainbow flyer,dj TAKA
148,TRANCE,STAR DREAM,PINK PONG
155,TECHNO,symbolic,TaQ
135,HOUSE,thunder,Lion MUSASHI
93,HIP HOP,WAR GAME,ASLETICS
122,POPS,World Wide Love,MTO
158,ELECTROSHOCK,xenon,Mr.T
145,J-TRANCE,蒼い衝動,NAOKI feat.YUKI
155,NU-NRG,合体せよ！ストロングイェーガー！！,L.E.D.
13-320,SPIRITUAL,桜,Reven-G
171,TRANCE CORE,Abyss -The Heavens Remix-,dj TAKA Remixed by Ryu☆
180,RAVE,ACT,RAM
148,NRG,BAD BOY BASS!! (dj Remo-con MIX),Y&Co.
130,SPIRITUAL,bag,Reven-G
150,ROCOCO TEK,BRIGHTNESS DARKNESS,SPARKER
160-188,HEALIN' HARDCORE,Cradle,positive MA feat.akino
125,MIXTURE,Distress,dj TAKA Remixed by TaQ
145,TRANCE,e-motion 2003 -romantic extra-,e.o.s. Remixed by dj TAKA
160,TURKISH PIANO'N'BASS,Golden Horn,Osamu Kubota
152,EUROBEAT,HYPER EUROBEAT (2DX style),NAOKI feat.PAULA TERRY
142,EUROBEAT,I Was The One (80's EUROBEAT STYLE),good-cool Remixed by NAOKI
136,TRANCE,Let The Snow Paint Me -Y&Co. Remix-,Sana Remixed by Y&Co.
142,SOUL,lights,flare
177,J-HAPPY HARDCORE,LOVE♡SHINE,小坂りゆ
155,TECHNO,lower world,D.J.SETUP
130,GOSPEL,Make A Difference,Lala Moore with CoCoRo*Co
158,EUROBEAT,MARIA (I believe... ),NAOKI feat.PAULA TERRY
130-160,POST ROCK,moon_child,少年ラジオ
155,HARDCORE RAVE,one or eight,sampling masters AYA
155,TRANCE,quasar,OutPhase
150,PSYCHEDELIC,Quickening,dj TAKA
100,R&B,Really Love,大部真由美
132,ELECTRO 2 STEP,RISLIM -Remix-,ric Remixed by Hisashi Nawata
200,GABBA,rottel-the-Mercury,sampling masters MEGA
129,HAPPY HANDBAG,Silvia Drive,dj TAKA feat.Noria
180,DRUM'N'BASS,SNOW,RAM
140,TRANCE,STAR FIELD,SADA
180,HAPPY HARDCORE,Sweet Sweet♡Magic,jun
114,HIPHOP,SWEETEST SAVAGE,ASLETICS
130,HOUSE,真夏の花・真夏の夢,Sana
146,ボデー,ライオン好き,AKIRA YAMAOKA
145,PSYCHEDELIC TRANCE,ALIEN TEMPLE,PINK PONG
136,DREAM TECHNO,ASTRAL VOYAGE,EeL
160,ITALO POP,BABY LOVE,Noria
144,2STEP POP TRANCE,Back Into The Light,Sota Fujimori
160,ROCOCO TEK,Boundary,SPARKER
158,EUROBEAT,CARRY ON NIGHT (English version),platoniX (EURO style)
157,EUROBEAT,Daisuke,Y&Co.
155,ETHNO HARDCORE,Debtty Daddy,sampling masters AYA
72,PIANO BALLADE,desolation,Mr.T
170,HYPER J-POP FOUR,DoLL,TЁЯRA
158,ELECTROSHOCK,EXE,Mr.T
140,BREAK BEATS,Feedback,Audio Highs
180,DRUM'N'BASS,FEEL IT,RAM
135,NATURAL SOUND,Freezing atmosphere,Twin AmadeuS
148,GOA TRANCE,GHOST REVIVAL,L.E.D.
160-220,GAME MUSIC,GRADIUS -FULL SPEED-,Mr.T
